,user,text,favorite_count,retweet_count,created_at,cleaned_tweet,polarity,subjectivity
140,elonmusk,"@WholeMarsBlog I have no desire to become involved in wars, but it is safe to say that all bets are off if the nukes start flying",96657,6669,2022-10-09,i have no desire become involved wars but it is safe say that all bets are off if nukes start flying,0.5,0.5
141,elonmusk,@Teslarati Strong candidate to win most counter-intuitive product of the year!,13556,489,2022-10-09,strong candidate win most counter intuitive product year,0.5777777777777778,0.5444444444444444
142,elonmusk,@MuskUniversity Important to bear in mind when reading anything,24282,1275,2022-10-09,important bear mind when reading anything,0.4,1.0
143,elonmusk,"@neiltyson Indeed, that kinetic energy scales with the square of velocity is not well-appreciated!

A sealed escape pod with a heat shield would probably work.",22964,898,2022-10-09,indeed that kinetic energy scales with square velocity is not well appreciated sealed escape pod with heat shield would probably work,0.2,0.1
144,elonmusk,@lexfridman So many blind spots,47189,1632,2022-10-09,so many blind spots,0.0,0.5833333333333333
145,elonmusk,@EPavlic @boringcompany 🎯,4913,159,2022-10-09,,0.0,0.0
146,elonmusk,"@spideycyp_155 @EvaFoxU There are ~25k terminals in Ukraine, but each terminal can be used to provide an Internet uplink to a cell phone tower, so potentially several thousand people can be served by a single terminal",4151,340,2022-10-09,there are 25k terminals ukraine but each terminal can be used provide internet uplink cell phone tower so potentially several thousand people can be served by single terminal,-0.03571428571428571,0.10714285714285714
147,elonmusk,Coming soon from The @BoringCompany https://t.co/cNIbFRRXyt,66501,4225,2022-10-09,coming soon,0.0,0.0
148,elonmusk,"@Scobleizer Yup, it will float",4371,239,2022-10-09,yup it will float,0.0,0.0
149,elonmusk,@spideycyp_155 @MirrorinSpace @NASAEarthMars Too busy trying to survive at the time,2594,130,2022-10-09,too busy trying survive at time,0.1,0.3
150,elonmusk,@MirrorinSpace @NASAEarthMars They were invited to further their career elsewhere,2202,92,2022-10-09,they were invited further their career elsewhere,0.0,0.5
151,elonmusk,@ace_constantine @NASAEarthMars There is a giant 30ft (literal) fork in the road outside the Autopilot office in Palo Alto,2474,157,2022-10-09,there is giant 30ft literal fork road outside autopilot office palo alto,0.0,0.525
152,elonmusk,@SirineAti @NASAEarthMars Mine,2417,94,2022-10-09,mine,0.0,0.0
153,elonmusk,@ace_constantine @NASAEarthMars I love the inverse poetry of making metaphors literal,3072,189,2022-10-09,i love inverse poetry making metaphors literal,0.5,0.6
154,elonmusk,"@NASAEarthMars That is quite an interesting story. We sent what appeared to be identical emails to all, but each was actually coded with either one or two spaces between sentences, forming a binary signature that identified the leaker.",4970,386,2022-10-09,that is quite interesting story we sent what appeared be identical emails all but each was actually coded with either one or two spaces between sentences forming binary signature that identified leaker,0.25,0.3
155,elonmusk,Because it runs recursively,38023,1686,2022-10-09,because it runs recursively,0.0,0.0
156,elonmusk,@tegmark Nuclear war probability is rising rapidly,87390,11617,2022-10-09,nuclear war probability is rising rapidly,0.0,0.0
